"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\README.md", "Markdown", 0, 93, 0, 0, 33, 126
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\chat.py", "Python", 47, 0, 0, 9, 19, 75
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\cli.py", "Python", 41, 0, 0, 9, 18, 68
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\config.py", "Python", 32, 0, 0, 4, 9, 45
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\database.py", "Python", 58, 0, 0, 6, 15, 79
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\main.py", "Python", 3, 0, 0, 1, 2, 6
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\memory.py", "Python", 24, 0, 0, 6, 8, 38
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\personalities.py", "Python", 41, 0, 0, 4, 16, 61
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\response.py", "Python", 39, 0, 0, 1, 10, 50
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\app\session_manager.py", "Python", 26, 0, 0, 8, 7, 41
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\tests\conftest.py", "Python", 5, 0, 0, 1, 2, 8
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\tests\test_database.py", "Python", 375, 0, 0, 96, 98, 569
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\tests\test_memory.py", "Python", 55, 0, 0, 10, 19, 84
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\backend\tests\test_personalities.py", "Python", 123, 0, 0, 12, 35, 170
"c:\Aadarsha'sFortressOfSoltitude\coding\AI\Roleplay\requirements.txt", "pip requirements", 0, 0, 5, 0, 0, 5
"Total", "-", 869, 93, 5, 167, 291, 1425